Compound_code	Compound_name	Input_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C05528	3-Sulfopyruvate	0.0	0.0	0.0	equal	NA	2	0
C05527	3-Sulfinylpyruvate	584.0	25.313	61.452	above	***	2	2
C00027	Hydrogen_peroxide	0.0	0.0	0.0	equal	NA	1	0
C02876	Propanoyl_phosphate	162.0	8.74	14.993	above	***	2	1
C16242	Cobalt-precorrin_5A	80.0	36.054	61.528	above	n.s.	2	2
C16243	Cobalt-precorrin_5B	80.0	35.744	60.568	above	n.s.	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	260.0	36.06	58.908	above	***	0	2
C00944	3-Dehydroquinate	0.0	0.0	0.0	equal	NA	4	0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	22.0	8.958	14.705	above	n.s.	0	1
C02430	L-Methionyl-tRNA	28.0	8.915	15.092	above	*	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	240.0	35.36	59.956	above	***	2	2
C14819	Fe3+	0.0	0.0	0.0	equal	NA	1	0
C14818	Fe2+	181.0	9.181	14.959	above	***	0	1
C00431	5-Aminopentanoate	0.0	0.0	0.0	equal	NA	2	0
C00437	N-Acetylornithine	50.0	592.402	1476.27	below	n.s.	4	10
C01451	Salicin	3.0	8.911	15.613	below	n.s.	0	1
C00438	N-Carbamoyl-L-aspartate	16.0	9.0	14.748	above	n.s.	4	1
C00826	L-Arogenate	9.0	8.759	15.173	above	n.s.	0	1
C00534	Pyridoxamine	19.0	8.934	15.313	above	n.s.	1	1
C00469	Ethanol	54592.0	402.053	938.464	above	***	0	8
C01181	4-Trimethylammoniobutanoate	0.0	0.0	0.0	equal	NA	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	80.0	35.656	59.92	above	n.s.	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	116.0	36.687	60.636	above	*	0	2
C01185	Nicotinate_D-ribonucleotide	640.0	104.78	236.072	above	**	2	4
C15812	[Enzyme]-S-sulfanylcysteine	31.0	8.925	14.886	above	*	1	1
C15813	C15813	64.0	25.518	59.776	above	n.s.	2	2
C15810	C15810	1.0	9.015	15.002	below	n.s.	1	1
C15811	[Enzyme]-cysteine	100.0	8.746	15.225	above	***	0	1
C15814	C15814	64.0	25.518	59.776	above	n.s.	2	2
C15815	C15815	2.0	24.728	60.166	below	n.s.	1	2
C16688	Sucrose_6-phosphate	0.0	9.067	15.147	below	n.s.	1	1
C05752	Octanoyl-[acp]	2070.0	81.602	136.89	above	***	3	3
C00794	D-Sorbitol	645.0	119.304	378.305	above	*	0	5
C05840	Iminoaspartate	16.0	35.752	60.028	below	n.s.	2	2
C00886	L-Alanyl-tRNA	0.0	0.0	0.0	equal	NA	1	0
C00506	L-Cysteate	584.0	25.313	61.452	above	***	0	2
C01233	sn-Glycero-3-phosphoethanolamine	2.0	8.987	14.542	below	n.s.	0	1
C00226	Primary_alcohol	3412.0	25.128	58.654	above	***	0	2
C00222	3-Oxopropanoate	9.0	8.835	14.559	above	n.s.	2	1
C00221	beta-D-Glucose	153.0	78.517	134.442	above	n.s.	0	3
C00385	Xanthine	960.0	137.425	383.34	above	**	7	5
C00387	Guanosine	891.0	57.826	134.304	above	***	0	3
C02504	alpha-Isopropylmalate	0.0	788.216	2183.868	below	n.s.	4	12
C00229	Acyl-carrier_protein	424.0	36.534	59.136	above	***	1	2
C00499	Allantoate	48.0	35.235	59.744	above	n.s.	0	2
C00380	Cytosine	8.0	9.154	14.542	below	n.s.	1	1
C16396	2,4-Diamino-6-nitrotoluene	6264.0	183.762	551.64	above	***	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	1.0	8.961	14.52	below	n.s.	7	1
C00546	Methylglyoxal	0.0	0.0	0.0	equal	NA	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	0.0	0.0	0.0	equal	NA	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	0.0	0.0	0.0	equal	NA	2	0
C02291	L-Cystathionine	192.0	140.769	240.56	above	n.s.	0	4
C00364	dTMP	36.0	36.061	61.86	below	n.s.	1	2
C00365	dUMP	393.0	48.71	136.134	above	**	4	3
C00362	dGMP	26.0	8.86	15.559	above	*	1	1
C16244	Cobalt-precorrin_7	48.0	35.619	60.204	above	n.s.	2	2
C00360	dAMP	647.0	9.083	15.224	above	***	1	1
C00008	ADP	5724.0	166.661	536.874	above	***	6	6
C00007	Oxygen	387.0	8.952	14.835	above	***	0	1
C00006	NADP+	0.0	0.0	0.0	equal	NA	2	0
C00003	NAD+	92.0	35.645	59.72	above	n.s.	3	2
C00002	ATP	43212.0	597.336	2536.417	above	***	1	13
C00369	Starch	620.0	113.212	241.38	above	**	2	4
C05703	Methaneselenol	0.0	0.0	0.0	equal	NA	2	0
C06613	trans-3-Chloroallyl_aldehyde	6856.0	86.135	236.82	above	***	5	4
C06507	Adenosyl_cobyrinate_hexaamide	300.0	186.94	357.15	above	n.s.	1	5
C16619	6-Thioguanosine_monophosphate	0.0	0.0	0.0	equal	NA	2	0
C11062	4-Hydroxybutyryl-CoA	1080.0	78.686	132.588	above	***	0	3
C02612	(R)-2-Methylmalate	0.0	631.708	1521.85	below	n.s.	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	0.0	0.0	0.0	equal	NA	1	0
C16614	6-Methylmercaptopurine	51.0	9.009	15.305	above	**	0	1
C00645	N-Acetyl-D-mannosamine	0.0	0.0	0.0	equal	NA	4	0
C00099	beta-Alanine	372.0	243.88	525.012	above	n.s.	2	6
C00311	Isocitrate	1474.0	763.441	1859.924	above	n.s.	7	11
C00310	D-Xylulose	52.0	35.774	59.172	above	n.s.	2	2
C00641	1,2-Diacyl-sn-glycerol	325.0	187.046	373.55	above	n.s.	1	5
C01931	L-Lysyl-tRNA	0.0	0.0	0.0	equal	NA	1	0
C00315	Spermidine	48.0	143.203	246.08	below	n.s.	3	4
C00314	Pyridoxine	76.0	35.736	61.252	above	n.s.	0	2
C00091	Succinyl-CoA	13408.0	283.87	970.496	above	***	5	8
C00760	Cellulose	24.0	35.598	60.728	below	n.s.	3	2
C00093	sn-Glycerol_3-phosphate	4990.0	425.84	1515.62	above	***	3	10
C00094	Sulfite	380.0	484.778	1471.56	below	n.s.	11	10
