Compound_code	Compound_name	Output_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C05528	3-Sulfopyruvate	584.0	12.419	83.6	above	***	2	0
C05527	3-Sulfinylpyruvate	584.0	12.419	83.6	above	***	2	2
C00027	Hydrogen_peroxide	387.0	7.864	11.4	above	***	1	0
C02876	Propanoyl_phosphate	786.0	21.96	56.4	above	***	2	1
C16242	Cobalt-precorrin_5A	104.0	26.581	87.2	above	n.s.	2	2
C16243	Cobalt-precorrin_5B	80.0	38.946	72.0	above	n.s.	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	0.0	0.0	0.0	equal	NA	0	2
C00944	3-Dehydroquinate	112.0	82.83	304.0	above	n.s.	4	0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	0.0	0.0	equal	NA	0	1
C02430	L-Methionyl-tRNA	56.0	6.675	13.8	above	***	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	692.0	36.363	78.4	above	***	2	2
C14819	Fe3+	181.0	7.579	11.4	above	***	1	0
C14818	Fe2+	0.0	0.0	0.0	equal	NA	0	1
C00431	5-Aminopentanoate	8480.0	32.025	72.0	above	***	2	0
C00437	N-Acetylornithine	0.0	74.773	310.4	below	n.s.	4	10
C01451	Salicin	0.0	0.0	0.0	equal	NA	0	1
C00438	N-Carbamoyl-L-aspartate	488.0	133.732	243.2	above	*	4	1
C00826	L-Arogenate	0.0	0.0	0.0	equal	NA	0	1
C00534	Pyridoxamine	19.0	10.107	21.8	above	n.s.	1	1
C00469	Ethanol	0.0	0.0	0.0	equal	NA	0	8
C01181	4-Trimethylammoniobutanoate	4.0	6.741	13.4	below	n.s.	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	60.0	18.83	51.2	above	n.s.	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	0.0	0.0	equal	NA	0	2
C01185	Nicotinate_D-ribonucleotide	12.0	42.513	40.8	below	n.s.	2	4
C15812	[Enzyme]-S-sulfanylcysteine	100.0	8.579	13.0	above	***	1	1
C15813	C15813	64.0	20.769	60.8	above	n.s.	2	2
C15810	C15810	1.0	2.871	15.4	below	n.s.	1	1
C15811	[Enzyme]-cysteine	0.0	0.0	0.0	equal	NA	0	1
C15814	C15814	64.0	20.769	60.8	above	n.s.	2	2
C15815	C15815	1.0	2.871	15.4	below	n.s.	1	2
C16688	Sucrose_6-phosphate	0.0	4.858	15.0	below	n.s.	1	1
C05752	Octanoyl-[acp]	1179.0	86.998	86.4	above	***	3	3
C00794	D-Sorbitol	0.0	0.0	0.0	equal	NA	0	5
C05840	Iminoaspartate	12.0	39.468	79.2	below	n.s.	2	2
C00886	L-Alanyl-tRNA	52.0	7.526	21.6	above	**	1	0
C00506	L-Cysteate	0.0	0.0	0.0	equal	NA	0	2
C01233	sn-Glycero-3-phosphoethanolamine	0.0	0.0	0.0	equal	NA	0	1
C00226	Primary_alcohol	0.0	0.0	0.0	equal	NA	0	2
C00222	3-Oxopropanoate	36.0	17.27	70.4	above	n.s.	2	1
C00221	beta-D-Glucose	0.0	0.0	0.0	equal	NA	0	3
C00385	Xanthine	3164.0	183.576	712.6	above	***	7	5
C00387	Guanosine	0.0	0.0	0.0	equal	NA	0	3
C02504	alpha-Isopropylmalate	0.0	166.092	275.2	below	n.s.	4	12
C00229	Acyl-carrier_protein	15.0	10.361	9.8	above	n.s.	1	2
C00499	Allantoate	0.0	0.0	0.0	equal	NA	0	2
C00380	Cytosine	8.0	5.741	21.2	above	n.s.	1	1
C16396	2,4-Diamino-6-nitrotoluene	0.0	0.0	0.0	equal	NA	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	49.0	393.711	646.8	below	n.s.	7	1
C00546	Methylglyoxal	164.0	16.512	65.6	above	**	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	6264.0	125.628	456.0	above	***	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	472.0	37.897	84.8	above	***	2	0
C02291	L-Cystathionine	0.0	0.0	0.0	equal	NA	0	4
C00364	dTMP	39.0	8.523	15.6	above	*	1	2
C00365	dUMP	504.0	29.219	231.2	above	**	4	3
C00362	dGMP	26.0	4.176	22.6	above	n.s.	1	1
C16244	Cobalt-precorrin_7	52.0	39.468	64.8	above	n.s.	2	2
C00360	dAMP	647.0	6.735	7.2	above	***	1	1
C00008	ADP	11574.0	87.904	404.4	above	***	6	6
C00007	Oxygen	0.0	0.0	0.0	equal	NA	0	1
C00006	NADP+	92.0	38.317	67.2	above	n.s.	2	0
C00003	NAD+	246.0	70.703	142.8	above	*	3	2
C00002	ATP	255.0	6.337	11.2	above	***	1	13
C00369	Starch	92.0	27.129	64.0	above	*	2	4
C05703	Methaneselenol	1110.0	14.805	88.0	above	***	2	0
C06613	trans-3-Chloroallyl_aldehyde	17080.0	112.889	451.0	above	***	5	4
C06507	Adenosyl_cobyrinate_hexaamide	12.0	6.21	18.2	above	n.s.	1	5
C16619	6-Thioguanosine_monophosphate	270.0	33.927	46.4	above	***	2	0
C11062	4-Hydroxybutyryl-CoA	0.0	0.0	0.0	equal	NA	0	3
C02612	(R)-2-Methylmalate	0.0	0.0	0.0	equal	NA	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	51.0	7.808	8.8	above	***	1	0
C16614	6-Methylmercaptopurine	0.0	0.0	0.0	equal	NA	0	1
C00645	N-Acetyl-D-mannosamine	360.0	113.097	302.4	above	n.s.	4	0
C00099	beta-Alanine	26.0	9.121	62.0	above	n.s.	2	6
C00311	Isocitrate	518.0	390.537	550.2	above	n.s.	7	11
C00310	D-Xylulose	88.0	30.04	80.0	above	n.s.	2	2
C00641	1,2-Diacyl-sn-glycerol	17.0	9.02	14.8	above	n.s.	1	5
C01931	L-Lysyl-tRNA	148.0	6.369	9.8	above	***	1	0
C00315	Spermidine	27.0	15.484	37.8	above	n.s.	3	4
C00314	Pyridoxine	0.0	0.0	0.0	equal	NA	0	2
C00091	Succinyl-CoA	4390.0	100.27	381.0	above	***	5	8
C00760	Cellulose	66.0	45.02	150.0	above	n.s.	3	2
C00093	sn-Glycerol_3-phosphate	30.0	65.535	135.0	below	n.s.	3	10
C00094	Sulfite	836.0	711.148	1463.0	above	n.s.	11	10
C00095	D-Fructose	632.0	63.114	315.2	above	*	4	8
C00096	GDP-mannose	270.0	66.527	93.6	above	**	3	1
C00097	L-Cysteine	13545.0	981.995	3471.0	above	***	15	6
C14099	2-Naphthaldehyde	30708.0	179.495	691.2	above	***	6	0
C06311	Galactitol_1-phosphate	984.0	218.835	494.4	above	*	6	0
C00433	2,5-Dioxopentanoate	0.0	0.0	0.0	equal	NA	0	2
C14090	1-Naphthaldehyde	30708.0	179.495	691.2	above	***	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	0.0	0.0	0.0	equal	NA	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	0.0	0.0	0.0	equal	NA	0	3
C14096	3-Formylsalicylic_acid	260.0	6.693	64.0	above	***	2	0
C02702	L-Prolyl-tRNA(Pro)	348.0	10.781	19.4	above	***	1	0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	60.0	11.071	15.8	above	***	1	2
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	1675.0	272.489	450.0	above	***	5	1
C05172	Selenophosphoric_acid	0.0	0.0	0.0	equal	NA	0	1
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	0.0	0.0	equal	NA	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	6.0	10.1	16.0	below	n.s.	1	0
C05775	alpha-Ribazole	46.0	9.666	16.6	above	**	1	3
C07118	Benzoyl_acetyl-CoA	0.0	0.0	0.0	equal	NA	0	3
C05773	Cobyrinate	72.0	16.473	24.8	above	**	2	0
C05778	Sirohydrochlorin	16.0	137.86	310.4	below	n.s.	4	4
C05670	3-Aminopropiononitrile	0.0	0.0	0.0	equal	NA	0	1
C00164	Acetoacetate	0.0	317.808	1118.4	below	n.s.	8	1
C00166	Phenylpyruvate	12051.0	566.538	2470.0	above	***	13	13
C00167	UDP-glucuronate	1728.0	288.539	813.6	above	*	6	0
