Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C05528	-5.222	-5.201	-5.087	-4.973	-4.952
C05527	0.0	0.0	0.0	0.0	0.0
C00027	-4.858	-4.829	-4.672	-4.515	-4.486
C02876	-0.479	-0.403	0.0	0.403	0.479
C16242	-0.582	-0.49	0.0	0.49	0.582
C16243	-0.582	-0.49	0.0	0.49	0.582
C06723	4.414	4.441	4.585	4.729	4.756
C00944	-4.748	-4.723	-4.585	-4.447	-4.422
C16595	4.405	4.433	4.585	4.737	4.765
C02430	-0.561	-0.472	0.0	0.472	0.561
C04332	-0.59	-0.497	0.0	0.497	0.59
C14819	-4.866	-4.84	-4.7	-4.56	-4.534
C14818	4.534	4.56	4.7	4.84	4.866
C00431	-5.354	-5.331	-5.209	-5.087	-5.064
C00437	1.438	1.527	2.0	2.473	2.562
C01451	4.414	4.441	4.585	4.729	4.756
C00438	-0.465	-0.391	0.0	0.391	0.465
C00826	4.628	4.656	4.807	4.958	4.986
C00534	0.0	0.0	0.0	0.0	0.0
C00469	4.996	5.017	5.129	5.241	5.262
C01181	-4.841	-4.815	-4.672	-4.529	-4.503
C04877	-0.584	-0.492	0.0	0.492	0.584
C04874	4.407	4.435	4.585	4.735	4.763
C01185	2.585	2.677	3.17	3.663	3.755
C15812	-0.585	-0.493	0.0	0.493	0.585
C15813	0.0	0.0	0.0	0.0	0.0
C15810	0.0	0.0	0.0	0.0	0.0
C15811	4.269	4.299	4.459	4.619	4.649
C15814	0.0	0.0	0.0	0.0	0.0
C15815	-0.481	-0.405	0.0	0.405	0.481
C16688	-0.6	-0.505	0.0	0.505	0.6
C05752	-0.581	-0.489	0.0	0.489	0.581
C00794	5.469	5.487	5.585	5.683	5.701
C05840	-0.586	-0.494	0.0	0.494	0.586
C00886	-4.755	-4.728	-4.585	-4.442	-4.415
C00506	4.952	4.973	5.087	5.201	5.222
C01233	4.391	4.422	4.585	4.748	4.779
C00226	4.996	5.017	5.129	5.241	5.262
C00222	0.0	0.0	0.0	0.0	0.0
C00221	4.299	4.329	4.4915	4.654	4.684
C00385	-0.516	-0.435	0.0	0.435	0.516
C00387	5.055	5.077	5.1895	5.302	5.324
C02504	2.152	2.238	2.696	3.154	3.24
C00229	0.424	0.515	1.0	1.485	1.576
C00499	4.536	4.562	4.7	4.838	4.864
C00380	0.0	0.0	0.0	0.0	0.0
C16396	5.24	5.259	5.358	5.457	5.476
C14463	0.0	0.0	0.0	0.0	0.0
C00546	-5.353	-5.33	-5.209	-5.088	-5.065
C16399	-5.476	-5.457	-5.358	-5.259	-5.24
C16217	-4.764	-4.736	-4.585	-4.434	-4.406
C02291	4.211	4.24	4.392	4.544	4.573
C00364	-0.59	-0.497	0.0	0.497	0.59
C00365	2.12	2.194	2.585	2.976	3.05
C00362	0.0	0.0	0.0	0.0	0.0
C16244	-0.574	-0.483	0.0	0.483	0.574
C00360	0.0	0.0	0.0	0.0	0.0
C00008	-3.537	-3.452	-3.0	-2.548	-2.463
C00007	4.486	4.515	4.672	4.829	4.858
C00006	-4.776	-4.746	-4.585	-4.424	-4.394
C00003	-3.59	-3.497	-3.0	-2.503	-2.41
C00002	4.014	4.094	4.524	4.954	5.034
C00369	-0.535	-0.45	0.0	0.45	0.535
C05703	-5.221	-5.2	-5.087	-4.974	-4.953
C06613	-1.391	-1.329	-1.0	-0.671	-0.609
C06507	-0.552	-0.465	0.0	0.465	0.552
C16619	-5.189	-5.166	-5.044	-4.922	-4.899
C11062	4.28	4.308	4.459	4.61	4.638
C02612	4.961	4.981	5.087	5.193	5.213
C16615	-4.704	-4.676	-4.524	-4.372	-4.344
C16614	4.344	4.372	4.524	4.676	4.704
C00645	-5.132	-5.111	-5.0	-4.889	-4.868
C00099	-3.103	-3.021	-2.585	-2.149	-2.067
C00311	-0.429	-0.361	0.0	0.361	0.429
