Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_StD	Relationshiop	Confidence
C05528	3-Sulfopyruvate	-7.19	-6.331	1.029	n.s	none
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	n.s	none
C00027	Hydrogen_peroxide	-8.596	-6.304	1.68	n.s	none
C02876	Propanoyl_phosphate	-5.109	-2.161	4.872	n.s	none
C16242	Cobalt-precorrin_5A	-2.585	-3.585	6.0	above	none
C16243	Cobalt-precorrin_5B	0.0	-1.661	5.975	above	none
C06723	6-Carboxyhex-2-enoyl-CoA	6.022	6.258	1.831	n.s	none
C00944	3-Dehydroquinate	-2.807	-5.6	2.0	above	none
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	4.459	5.475	1.81	n.s	none
C02430	L-Methionyl-tRNA	-4.807	-1.5	5.727	n.s	none
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-6.82	-2.877	6.154	n.s	none
C14819	Fe3+	-7.5	-6.2	1.521	n.s	none
C14818	Fe2+	7.5	6.2	1.521	above	none
C00431	5-Aminopentanoate	-11.05	-6.229	1.138	n.s	none
C00437	N-Acetylornithine	0.0	1.792	5.723	n.s	none
C01451	Salicin	1.585	6.257	1.789	n.s	none
C00438	N-Carbamoyl-L-aspartate	-3.858	-1.954	5.398	n.s	none
C00826	L-Arogenate	3.17	6.022	1.981	n.s	none
C00534	Pyridoxamine	0.0	0.0	0.0	n.s	none
C00469	Ethanol	9.736	6.248	1.161	above	*
C01181	4-Trimethylammoniobutanoate	-2.0	-5.658	1.72	above	*
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2.322	1.292	6.019	above	none
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	4.858	6.285	1.717	n.s	none
C01185	Nicotinate_D-ribonucleotide	5.209	3.246	5.958	above	none
C15812	[Enzyme]-S-sulfanylcysteine	-6.109	2.792	5.923	n.s	none
C15813	C15813	0.0	0.0	0.0	n.s	none
C15810	C15810	0.0	0.0	0.0	n.s	none
C15811	[Enzyme]-cysteine	6.644	6.033	1.842	above	none
C15814	C15814	0.0	0.0	0.0	n.s	none
C15815	C15815	0.0	-2.696	5.062	above	none
C16688	Sucrose_6-phosphate	0.0	3.522	5.956	n.s	none
C05752	Octanoyl-[acp]	6.629	4.17	5.891	above	none
C00794	D-Sorbitol	4.689	6.366	0.856	n.s	none
C05840	Iminoaspartate	0.0	2.807	5.853	n.s	none
C00886	L-Alanyl-tRNA	-5.7	-5.794	1.897	above	none
C00506	L-Cysteate	7.19	6.331	1.029	above	none
C01233	sn-Glycero-3-phosphoethanolamine	1.0	6.18	1.954	n.s	none
C00226	Primary_alcohol	9.736	6.248	1.161	above	*
C00222	3-Oxopropanoate	0.0	0.0	0.0	n.s	none
C00221	beta-D-Glucose	4.087	6.401	1.722	n.s	none
C00385	Xanthine	-4.71	0.5	4.573	n.s	none
C00387	Guanosine	6.629	5.999	1.269	above	none
C02504	alpha-Isopropylmalate	0.0	1.292	5.594	n.s	none
C00229	Acyl-carrier_protein	6.508	-3.696	5.715	above	none
C00499	Allantoate	3.585	5.754	1.973	n.s	none
C00380	Cytosine	0.0	0.0	0.0	n.s	none
C16396	2,4-Diamino-6-nitrotoluene	7.443	6.322	0.936	above	none
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0	n.s	none
C00546	Methylglyoxal	-5.358	-6.219	1.235	above	none
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.443	-6.322	0.936	n.s	none
C16217	3-Hydroxyoctadecanoyl-CoA	-6.883	-5.942	1.576	n.s	none
C02291	L-Cystathionine	3.585	6.554	1.795	n.s	none
C00364	dTMP	-4.907	-1.161	6.136	n.s	none
C00365	dUMP	3.605	2.807	4.629	above	none
C00362	dGMP	0.0	0.0	0.0	n.s	none
C16244	Cobalt-precorrin_7	-0.0	-2.5	5.76	above	none
C00360	dAMP	0.0	0.0	0.0	n.s	none
C00008	ADP	-7.344	-1.292	4.759	n.s	none
C00007	Oxygen	8.596	6.304	1.68	above	none
C00006	NADP+	-4.524	-6.267	1.754	above	none
C00003	NAD+	-2.115	-3.947	6.138	above	none
C00002	ATP	0.0	4.229	5.402	n.s	none
