KO_code	Transcripts
K03637	12.0
K03637	12.0
K17686	2.0
K17686	2.0
K03631	22.0
K03631	22.0
K03630	94.0
K03630	94.0
K00180	65.0
K00180	65.0
K11105	39.0
K11105	39.0
K16962	26.0
K16962	26.0
K03149	0.0
K03149	0.0
K03148	1.0
K03148	1.0
K03639	16.0
K03639	16.0
K06162	0.0
K06162	0.0
K06163	1.0
K06163	1.0
K10112	16.0
K10112	16.0
K07001	55.0
K07001	55.0
K06166	0.0
K06166	0.0
K06167	11.0
K06167	11.0
K02313	60.0
K02313	60.0
K06165	0.0
K06165	0.0
K06283	0.0
K06283	0.0
K03147	2.0
K03147	2.0
K06168	17.0
K06168	17.0
K12942	0.0
K12942	0.0
K06287	122.0
K06287	122.0
K08483	201.0
K08483	201.0
K00260	375.0
K00260	375.0
K00266	166.0
K00266	166.0
K02341	15.0
K02341	15.0
K03530	449.0
K03530	449.0
K05846	44.0
K05846	44.0
K05847	42.0
K05847	42.0
K04083	12.0
K04083	12.0
K02016	8.0
K02016	8.0
K00971	30.0
K00971	30.0
K03531	97.0
K03531	97.0
K02017	3.0
K02017	3.0
K01992	84.0
K01992	84.0
K01990	147.0
K01990	147.0
K02112	387.0
K02112	387.0
K02750	0.0
K02750	0.0
K06436	28.0
K06436	28.0
K11755	9.0
K11755	9.0
K04749	11.0
K04749	11.0
K01515	55.0
K01515	55.0
K01783	57.0
K01783	57.0
K01104	31.0
K01104	31.0
K11753	48.0
K11753	48.0
K06967	7.0
K06967	7.0
K05592	121.0
K05592	121.0
K00868	19.0
K00868	19.0
K03737	1080.0
K03737	1080.0
K02010	26.0
K02010	26.0
K00680	6.0
K00680	6.0
K07139	15.0
K07139	15.0
K02111	305.0
K02111	305.0
K01681	10.0
K01681	10.0
K01295	3.0
K01295	3.0
K13626	69.0
K13626	69.0
K01297	2.0
K01297	2.0
K03977	33.0
K03977	33.0
K01193	0.0
K01193	0.0
K05601	18.0
K05601	18.0
K01126	2.0
K01126	2.0
K02314	98.0
K02314	98.0
K02823	12.0
K02823	12.0
K01198	0.0
K01198	0.0
K14540	31.0
K14540	31.0
K14231	4.0
K14231	4.0
K00215	85.0
K00215	85.0
K01035	0.0
K01035	0.0
K01034	0.0
K01034	0.0
K04517	10.0
K04517	10.0
K00655	35.0
K00655	35.0
K06164	0.0
K06164	0.0
K02030	13.0
K02030	13.0
K02031	8.0
K02031	8.0
K02032	9.0
K02032	9.0
K02033	265.0
K02033	265.0
K02034	256.0
K02034	256.0
K02035	453.0
K02035	453.0
K03625	20.0
K03625	20.0
K02037	0.0
K02037	0.0
K01585	4.0
K01585	4.0
K07090	4.0
K07090	4.0
K16961	37.0
K16961	37.0
K00602	67.0
K00602	67.0
K07095	68.0
K07095	68.0
K00604	28.0
K00604	28.0
K00606	9.0
K00606	9.0
K07099	6.0
K07099	6.0
K07098	14.0
K07098	14.0
K01420	5.0
K01420	5.0
K00532	46.0
K00532	46.0
K00919	25.0
K00919	25.0
K01588	20.0
K01588	20.0
K03553	37.0
K03553	37.0
K01425	21.0
K01425	21.0
K07560	20.0
K07560	20.0
K10974	112.0
K10974	112.0
K02011	1.0
K02011	1.0
K07568	17.0
K07568	17.0
K14665	0.0
K14665	0.0
K13652	3.0
K13652	3.0
K02050	6.0
K02050	6.0
K01463	36.0
K01463	36.0
K14534	120.0
K14534	120.0
K07391	0.0
K07391	0.0
K01761	0.0
K01761	0.0
K07646	20.0
K07646	20.0
K03594	0.0
K03594	0.0
K03595	51.0
K03595	51.0
K03596	47.0
K03596	47.0
K01042	3.0
K01042	3.0
K03458	8.0
K03458	8.0
K02519	101.0
K02519	101.0
K02518	178.0
K02518	178.0
K00974	4.0
K00974	4.0
K02108	238.0
K02108	238.0
K03980	24.0
K03980	24.0
K11175	26.0
K11175	26.0
K01734	57.0
K01734	57.0
K06518	13.0
K06518	13.0
K01733	5.0
K01733	5.0
K01639	84.0
K01639	84.0
K15023	65.0
K15023	65.0
K01921	11.0
K01921	11.0
K12267	17.0
K12267	17.0
K01633	29.0
K01633	29.0
K01926	176.0
K01926	176.0
K01738	3.0
K01738	3.0
K15024	162.0
K15024	162.0
K07024	51.0
K07024	51.0
K07025	7.0
K07025	7.0
K07027	15.0
K07027	15.0
K03856	8.0
K03856	8.0
K00043	109.0
K00043	109.0
K00042	0.0
K00042	0.0
K05833	203.0
K05833	203.0
K07533	51.0
K07533	51.0
K03521	1055.0
K03521	1055.0
K02422	91.0
K02422	91.0
K03210	173.0
K03210	173.0
K02420	51.0
K02420	51.0
K06412	391.0
K06412	391.0
K06941	11.0
K06941	11.0
K03527	32.0
K03527	32.0
K03526	7.0
K03526	7.0
K03529	29.0
K03529	29.0
K12573	10.0
K12573	10.0
K06949	15.0
K06949	15.0
K07141	6.0
K07141	6.0
K00925	231.0
K00925	231.0
K07467	4.0
K07467	4.0
K03778	413.0
K03778	413.0
K07460	0.0
K07460	0.0
K06015	14.0
K06015	14.0
K08998	26.0
K08998	26.0
K09761	20.0
K09761	20.0
K02358	1354.0
K02358	1354.0
K01814	4.0
K01814	4.0
K05808	117.0
K05808	117.0
K01811	34.0
K01811	34.0
K02217	181.0
K02217	181.0
K06042	18.0
K06042	18.0
K02355	895.0
K02355	895.0
K02357	255.0
K02357	255.0
K02356	171.0
K02356	171.0
K06958	31.0
K06958	31.0
K13275	0.0
K13275	0.0
K00134	861.0
K00134	861.0
K04043	100.0
K04043	100.0
K04042	89.0
K04042	89.0
K00131	8.0
K00131	8.0
K05823	31.0
K05823	31.0
K00088	139.0
K00088	139.0
K01952	68.0
K01952	68.0
K01953	3.0
K01953	3.0
K01951	84.0
K01951	84.0
K15460	8.0
K15460	8.0
K03299	1.0
K03299	1.0
K00783	13.0
K00783	13.0
K00784	5.0
K00784	5.0
K07040	360.0
K07040	360.0
K07736	86.0
K07736	86.0
K07737	26.0
K07737	26.0
K00788	1.0
K00788	1.0
K00789	71.0
K00789	71.0
K03296	28.0
K03296	28.0
K00030	14.0
K00030	14.0
K03294	6.0
K03294	6.0
K03073	158.0
K03073	158.0
K03070	143.0
K03070	143.0
K03077	0.0
K03077	0.0
K03076	580.0
K03076	580.0
K03075	45.0
K03075	45.0
K01809	16.0
K01809	16.0
K01255	11.0
K01255	11.0
K01736	6.0
K01736	6.0
K02012	55.0
K02012	55.0
K07464	20.0
K07464	20.0
K07321	37.0
K07321	37.0
K03177	59.0
K03177	59.0
K05896	18.0
K05896	18.0
K05895	13.0
K05895	13.0
K02118	25.0
K02118	25.0
K07723	53.0
K07723	53.0
K06131	36.0
K06131	36.0
K01873	101.0
K01873	101.0
K00864	6.0
K00864	6.0
K00554	27.0
K00554	27.0
K09748	44.0
K09748	44.0
K01687	1.0
K01687	1.0
K12574	108.0
K12574	108.0
K00558	17.0
K00558	17.0
K01501	28.0
K01501	28.0
K02653	7.0
K02653	7.0
K01179	6.0
K01179	6.0
K16850	111.0
K16850	111.0
K01262	93.0
K01262	93.0
K06387	0.0
K06387	0.0
K07217	0.0
K07217	0.0
K06023	16.0
K06023	16.0
K00812	285.0
K00812	285.0
K03719	138.0
K03719	138.0
K00817	5.0
K00817	5.0
K00951	26.0
K00951	26.0
K00950	42.0
K00950	42.0
K00954	20.0
K00954	20.0
K07219	17.0
K07219	17.0
K02315	67.0
K02315	67.0
K03481	10.0
K03481	10.0
K08301	24.0
K08301	24.0
K08302	87.0
K08302	87.0
K08303	40.0
K08303	40.0
K03486	30.0
K03486	30.0
K08309	11.0
K08309	11.0
K06180	35.0
K06180	35.0
K05795	152.0
K05795	152.0
K05796	71.0
K05796	71.0
K06183	8.0
K06183	8.0
K05792	29.0
K05792	29.0
K06187	95.0
K06187	95.0
K01493	83.0
K01493	83.0
K02601	392.0
K02601	392.0
K02600	78.0
K02600	78.0
K07727	8.0
K07727	8.0
K05799	13.0
K05799	13.0
K01495	43.0
K01495	43.0
K03592	15.0
K03592	15.0
K02419	66.0
K02419	66.0
K01677	11.0
K01677	11.0
K02412	79.0
K02412	79.0
K03551	10.0
K03551	10.0
K02410	67.0
K02410	67.0
K02411	69.0
K02411	69.0
K02416	54.0
K02416	54.0
K02417	89.0
K02417	89.0
K10440	3.0
K10440	3.0
K10441	4.0
K10441	4.0
K01778	16.0
K01778	16.0
K01779	35.0
K01779	35.0
K01591	6.0
K01591	6.0
K02782	4.0
K02782	4.0
K02783	7.0
K02783	7.0
K01770	9.0
K01770	9.0
K02781	4.0
K02781	4.0
K01776	15.0
K01776	15.0
K01777	1971.0
K01777	1971.0
K01775	46.0
K01775	46.0
K07106	0.0
K07106	0.0
K07105	17.0
K07105	17.0
K07456	12.0
K07456	12.0
K01928	15.0
K01928	15.0
K16950	0.0
K16950	0.0
K16951	0.0
K16951	0.0
K02892	377.0
K02892	377.0
K02890	345.0
K02890	345.0
K02777	3.0
K02777	3.0
K10439	5.0
K10439	5.0
K02774	36.0
K02774	36.0
K02773	11.0
K02773	11.0
K14155	12.0
K14155	12.0
K02770	82.0
K02770	82.0
K07699	435.0
K07699	435.0
K09696	12.0
K09696	12.0
K02071	6.0
K02071	6.0
K02072	5.0
K02072	5.0
K02073	13.0
K02073	13.0
K02526	78.0
K02526	78.0
K02398	76.0
K02398	76.0
K02520	308.0
K02520	308.0
K02444	6.0
K02444	6.0
K03305	41.0
K03305	41.0
K02397	144.0
K02397	144.0
K02396	112.0
K02396	112.0
K02390	83.0
K02390	83.0
K02528	30.0
K02528	30.0
K02392	105.0
K02392	105.0
K07738	3.0
K07738	3.0
K02110	119.0
K02110	119.0
K01916	34.0
K01916	34.0
K01915	34.0
K01915	34.0
K03524	2.0
K03524	2.0
K01918	11.0
K01918	11.0
K01977	81.0
K01977	81.0
K01552	1.0
K01552	1.0
K03783	52.0
K03783	52.0
K00335	54.0
K00335	54.0
K05934	17.0
K05934	17.0
K00077	6.0
K00077	6.0
K00074	530.0
K00074	530.0
K00019	0.0
K00019	0.0
K03789	13.0
K03789	13.0
K00865	1.0
K00865	1.0
K03701	19.0
K03701	19.0
K02114	150.0
K02114	150.0
K00177	240.0
K00177	240.0
K00176	65.0
K00176	65.0
K00175	243.0
K00175	243.0
K00174	290.0
K00174	290.0
K03411	13.0
K03411	13.0
K03410	15.0
K03410	15.0
K03413	15.0
K03413	15.0
K03412	18.0
K03412	18.0
K02557	120.0
K02557	120.0
K02556	102.0
K02556	102.0
K02791	3.0
K02791	3.0
K07171	65.0
K07171	65.0
K00375	1.0
K00375	1.0
K01524	6.0
K01524	6.0
K02119	20.0
K02119	20.0
K03826	10.0
K03826	10.0
K03827	21.0
K03827	21.0
K01358	177.0
K01358	177.0
K00194	54.0
K00194	54.0
K00197	61.0
K00197	61.0
K00196	183.0
K00196	183.0
K03608	100.0
K03608	100.0
K03609	113.0
K03609	113.0
K03470	8.0
K03470	8.0
K00198	338.0
K00198	338.0
K07402	26.0
K07402	26.0
K06173	47.0
K06173	47.0
K02967	333.0
K02967	333.0
K03466	19.0
K03466	19.0
K06178	7.0
K06178	7.0
K06223	0.0
K06223	0.0
K07584	544.0
K07584	544.0
K15555	15.0
K15555	15.0
K15554	14.0
K15554	14.0
K15553	81.0
K15553	81.0
K06997	73.0
K06997	73.0
K09710	55.0
K09710	55.0
K09711	7.0
K09711	7.0
K02970	223.0
K02970	223.0
K01989	330.0
K01989	330.0
K03735	31.0
K03735	31.0
K03736	22.0
K03736	22.0
K01726	65.0
K01726	65.0
K00016	13.0
K00016	13.0
K04078	23.0
K04078	23.0
K04079	117.0
K04079	117.0
K04077	111.0
K04077	111.0
K00104	387.0
K00104	387.0
K04075	51.0
K04075	51.0
K01985	0.0
K01985	0.0
K03739	33.0
K03739	33.0
K00854	13.0
K00854	13.0
K12410	13.0
K12410	13.0
K07038	23.0
K07038	23.0
K00852	1.0
K00852	1.0
K04758	24.0
K04758	24.0
K04757	9.0
K04757	9.0
K00359	407.0
K00359	407.0
K00997	15.0
K00997	15.0
K00991	5.0
K00991	5.0
K00859	10.0
K00859	10.0
K06382	4.0
K06382	4.0
K06383	0.0
K06383	0.0
K06381	21.0
K06381	21.0
K13820	80.0
K13820	80.0
K06384	15.0
K06384	15.0
K06385	1.0
K06385	1.0
K03043	237.0
K03043	237.0
K03040	718.0
K03040	718.0
K03046	312.0
K03046	312.0
K02931	551.0
K02931	551.0
K02933	562.0
K02933	562.0
K02935	827.0
K02935	827.0
K01489	34.0
K01489	34.0
K04769	0.0
K04769	0.0
K02939	61.0
K02939	61.0
K02963	789.0
K02963	789.0
K06917	27.0
K06917	27.0
K03544	278.0
K03544	278.0
K03424	50.0
K03424	50.0
K09787	37.0
K09787	37.0
K07160	20.0
K07160	20.0
K01000	34.0
K01000	34.0
K01678	12.0
K01678	12.0
K13038	49.0
K13038	49.0
K01006	45.0
K01006	45.0
K10793	2984.0
K10793	2984.0
K03564	26.0
K03564	26.0
K01438	1.0
K01438	1.0
K16906	1.0
K16906	1.0
K02414	48.0
K02414	48.0
K11754	30.0
K11754	30.0
K00927	303.0
K00927	303.0
K00634	48.0
K00634	48.0
K00929	155.0
K00929	155.0
K00075	19.0
K00075	19.0
K02415	38.0
K02415	38.0
K14441	37.0
K14441	37.0
K07658	13.0
K07658	13.0
K11041	81.0
K11041	81.0
K02986	674.0
K02986	674.0
K15342	18.0
K15342	18.0
K00694	8.0
K00694	8.0
K02982	554.0
K02982	554.0
K07173	28.0
K07173	28.0
K09913	122.0
K09913	122.0
K02988	369.0
K02988	369.0
K01714	229.0
K01714	229.0
K02113	165.0
K02113	165.0
K06927	12.0
K06927	12.0
K03581	4.0
K03581	4.0
K06925	11.0
K06925	11.0
K02117	21.0
K02117	21.0
K02115	307.0
K02115	307.0
K03584	25.0
K03584	25.0
K02563	55.0
K02563	55.0
K03589	1.0
K03589	1.0
K03588	44.0
K03588	44.0
K03465	39.0
K03465	39.0
K02564	76.0
K02564	76.0
K05985	16.0
K05985	16.0
K02038	0.0
K02038	0.0
K01649	0.0
K01649	0.0
K11145	100.0
K11145	100.0
K11261	10.0
K11261	10.0
K01640	0.0
K01640	0.0
K02190	20.0
K02190	20.0
K06910	24.0
K06910	24.0
K16905	1.0
K16905	1.0
K06405	0.0
K06405	0.0
K16907	4.0
K16907	4.0
K02594	4.0
K02594	4.0
K10796	1256.0
K10796	1256.0
K00334	50.0
K00334	50.0
K07035	1.0
K07035	1.0
K00700	23.0
K00700	23.0
K00703	43.0
K00703	43.0
K07138	24.0
K07138	24.0
K02598	1.0
K02598	1.0
K02027	14.0
K02027	14.0
K02026	50.0
K02026	50.0
K06407	0.0
K06407	0.0
K06406	0.0
K06406	0.0
K10819	3.0
K10819	3.0
K06956	38.0
K06956	38.0
K02020	7.0
K02020	7.0
K03518	1.0
K03518	1.0
K03517	4.0
K03517	4.0
K09903	75.0
K09903	75.0
K07137	10.0
K07137	10.0
K02029	16.0
K02029	16.0
K02028	23.0
K02028	23.0
K06864	9.0
K06864	9.0
K03769	212.0
K03769	212.0
K03768	84.0
K03768	84.0
K00099	23.0
K00099	23.0
K03763	12.0
K03763	12.0
K01925	40.0
K01925	40.0
K01866	73.0
K01866	73.0
K01867	62.0
K01867	62.0
K02160	192.0
K02160	192.0
K00226	10.0
K00226	10.0
K05813	0.0
K05813	0.0
K01868	85.0
K01868	85.0
K01869	62.0
K01869	62.0
K05816	0.0
K05816	0.0
K05815	0.0
