Compound_code	Compound_name	Metabolite_score	Sim_Mean	Sim_StD	Relationshiop	Confidence
C05528	3-Sulfopyruvate	-7.19	-6.041	1.073	n.s	none
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	n.s	none
C00027	Hydrogen_peroxide	-8.596	-5.362	2.028	n.s	none
C02876	Propanoyl_phosphate	-5.109	0.499	5.15	n.s	none
C16242	Cobalt-precorrin_5A	-2.585	-0.948	6.035	n.s	none
C16243	Cobalt-precorrin_5B	0.0	0.931	5.902	n.s	none
C06723	6-Carboxyhex-2-enoyl-CoA	6.022	5.774	1.875	above	none
C00944	3-Dehydroquinate	-2.807	-5.595	1.925	above	none
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	4.459	5.384	1.952	n.s	none
C02430	L-Methionyl-tRNA	-4.807	0.711	6.047	n.s	none
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-6.82	-0.145	5.975	n.s	none
C14819	Fe3+	-7.5	-5.682	1.935	n.s	none
C14818	Fe2+	7.5	5.682	1.935	above	none
C00431	5-Aminopentanoate	-11.05	-5.865	1.399	n.s	none
C00437	N-Acetylornithine	0.0	-0.019	5.705	above	none
C01451	Salicin	1.585	5.65	1.612	n.s	none
C00438	N-Carbamoyl-L-aspartate	-3.858	-0.549	4.954	n.s	none
C00826	L-Arogenate	3.17	5.485	2.012	n.s	none
C00534	Pyridoxamine	0.0	0.0	0.0	n.s	none
C00469	Ethanol	9.736	5.963	1.269	above	*
C01181	4-Trimethylammoniobutanoate	-2.0	-5.306	1.947	above	none
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2.322	-0.274	5.787	above	none
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	4.858	5.559	1.925	n.s	none
C01185	Nicotinate_D-ribonucleotide	5.209	0.554	5.699	above	none
C15812	[Enzyme]-S-sulfanylcysteine	-6.109	0.145	6.042	n.s	none
C15813	C15813	0.0	0.0	0.0	n.s	none
C15810	C15810	0.0	0.0	0.0	n.s	none
C15811	[Enzyme]-cysteine	6.644	5.48	1.931	above	none
C15814	C15814	0.0	0.0	0.0	n.s	none
C15815	C15815	0.0	0.39	5.201	n.s	none
C16688	Sucrose_6-phosphate	0.0	0.255	5.879	n.s	none
C05752	Octanoyl-[acp]	6.629	-0.11	5.639	above	none
C00794	D-Sorbitol	4.689	6.371	0.734	n.s	none
C05840	Iminoaspartate	0.0	-0.667	5.969	above	none
C00886	L-Alanyl-tRNA	-5.7	-5.594	1.859	n.s	none
C00506	L-Cysteate	7.19	6.041	1.073	above	none
C01233	sn-Glycero-3-phosphoethanolamine	1.0	5.941	1.542	n.s	none
C00226	Primary_alcohol	9.736	5.963	1.269	above	*
C00222	3-Oxopropanoate	0.0	0.0	0.0	n.s	none
