Compound_code	Compound_name	Input_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C05528	3-Sulfopyruvate	0.0	0.0	0.0	equal	NA	2	0
C05527	3-Sulfinylpyruvate	584.0	688.914	380.76	below	n.s.	2	2
C00027	Hydrogen_peroxide	0.0	0.0	0.0	equal	NA	1	0
C02876	Propanoyl_phosphate	162.0	258.166	115.89	below	n.s.	2	1
C16242	Cobalt-precorrin_5A	80.0	651.457	363.76	below	*	2	2
C16243	Cobalt-precorrin_5B	80.0	779.395	332.12	below	**	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	260.0	584.86	268.08	below	*	0	2
C00944	3-Dehydroquinate	0.0	0.0	0.0	equal	NA	4	0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	22.0	161.473	79.6	below	*	0	1
C02430	L-Methionyl-tRNA	28.0	111.425	58.2	below	*	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	240.0	662.574	338.24	below	*	2	2
C14819	Fe3+	0.0	0.0	0.0	equal	NA	1	0
C14818	Fe2+	181.0	323.65	102.79	below	*	0	1
C00431	5-Aminopentanoate	0.0	0.0	0.0	equal	NA	2	0
C00437	N-Acetylornithine	50.0	16102.5	9959.1	below	*	4	10
C01451	Salicin	3.0	335.181	118.07	below	**	0	1
C00438	N-Carbamoyl-L-aspartate	16.0	342.517	98.99	below	***	4	1
C00826	L-Arogenate	9.0	219.07	67.27	below	***	0	1
C00534	Pyridoxamine	19.0	405.693	128.36	below	***	1	1
C00469	Ethanol	54592.0	7145.628	5024.0	above	***	0	8
C01181	4-Trimethylammoniobutanoate	0.0	0.0	0.0	equal	NA	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	80.0	712.114	358.72	below	*	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	116.0	562.909	286.0	below	*	0	2
C01185	Nicotinate_D-ribonucleotide	640.0	2477.074	1271.04	below	*	2	4
C15812	[Enzyme]-S-sulfanylcysteine	31.0	185.546	97.75	below	*	1	1
C15813	C15813	64.0	668.284	409.4	below	*	2	2
C15810	C15810	1.0	284.26	106.95	below	**	1	1
C15811	[Enzyme]-cysteine	100.0	273.485	112.2	below	*	0	1
C15814	C15814	64.0	668.284	409.4	below	*	2	2
C15815	C15815	2.0	1104.319	545.1	below	**	1	2
C16688	Sucrose_6-phosphate	0.0	311.351	91.79	below	***	1	1
C05752	Octanoyl-[acp]	2070.0	2284.102	883.53	below	n.s.	3	3
C00794	D-Sorbitol	645.0	3340.21	2494.55	below	*	0	5
C05840	Iminoaspartate	16.0	1085.289	362.4	below	**	2	2
C00886	L-Alanyl-tRNA	0.0	0.0	0.0	equal	NA	1	0
C00506	L-Cysteate	584.0	688.914	380.76	below	n.s.	0	2
C01233	sn-Glycero-3-phosphoethanolamine	2.0	288.344	120.5	below	**	0	1
