Compound_code	Compound_name	Input_metabolite_score	Indegree	Outdegree
C05528	3-Sulfopyruvate	0.0	2	0
C05527	3-Sulfinylpyruvate	584.0	2	2
C00148	L-Proline	34398.0	8	7
C16242	Cobalt-precorrin_5A	80.0	2	2
C16243	Cobalt-precorrin_5B	80.0	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	260.0	0	2
C16244	Cobalt-precorrin_7	48.0	2	2
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	22.0	0	1
C02430	L-Methionyl-tRNA	28.0	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	240.0	2	2
C14819	Fe3+	0.0	1	0
C14818	Fe2+	181.0	0	1
C00431	5-Aminopentanoate	0.0	2	0
C00437	N-Acetylornithine	50.0	4	10
C01451	Salicin	3.0	0	1
C00438	N-Carbamoyl-L-aspartate	16.0	4	1
C00826	L-Arogenate	9.0	0	1
C00534	Pyridoxamine	19.0	1	1
C01181	4-Trimethylammoniobutanoate	0.0	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	80.0	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	116.0	0	2
C05979	Propane-1-ol	0.0	1	0
C01185	Nicotinate_D-ribonucleotide	640.0	2	4
C15812	[Enzyme]-S-sulfanylcysteine	31.0	1	1
C15813	C15813	64.0	2	2
C15810	C15810	1.0	1	1
C15811	[Enzyme]-cysteine	100.0	0	1
C15814	C15814	64.0	2	2
C15815	C15815	2.0	1	2
C16688	Sucrose_6-phosphate	0.0	1	1
C14145	(3S)-3-Hydroxyadipyl-CoA	8480.0	0	4
C00794	D-Sorbitol	645.0	0	5
C05840	Iminoaspartate	16.0	2	2
C00886	L-Alanyl-tRNA	0.0	1	0
C00506	L-Cysteate	584.0	0	2
C01233	sn-Glycero-3-phosphoethanolamine	2.0	0	1
C00226	Primary_alcohol	3412.0	0	2
C00222	3-Oxopropanoate	9.0	2	1
C00221	beta-D-Glucose	153.0	0	3
C00385	Xanthine	960.0	7	5
C00387	Guanosine	891.0	0	3
C02504	alpha-Isopropylmalate	0.0	4	12
C00229	Acyl-carrier_protein	424.0	1	2
C00882	Dephospho-CoA	40.0	2	2
C16396	2,4-Diamino-6-nitrotoluene	6264.0	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	1.0	7	1
C00546	Methylglyoxal	0.0	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	0.0	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	0.0	2	0
C02291	L-Cystathionine	192.0	0	4
C00364	dTMP	36.0	1	2
C00365	dUMP	393.0	4	3
C00362	dGMP	26.0	1	1
C00944	3-Dehydroquinate	0.0	4	0
C00360	dAMP	647.0	1	1
C00008	ADP	5724.0	6	6
C00007	Oxygen	387.0	0	1
C00006	NADP+	0.0	2	0
C00003	NAD+	92.0	3	2
C00002	ATP	43212.0	1	13
C00369	Starch	620.0	2	4
C05703	Methaneselenol	0.0	2	0
C00376	Retinal	0.0	2	0
C16619	6-Thioguanosine_monophosphate	0.0	2	0
C11062	4-Hydroxybutyryl-CoA	1080.0	0	3
C02612	(R)-2-Methylmalate	0.0	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	0.0	1	0
C16614	6-Methylmercaptopurine	51.0	0	1
C00645	N-Acetyl-D-mannosamine	0.0	4	0
C00099	beta-Alanine	372.0	2	6
C00311	Isocitrate	1474.0	7	11
C00310	D-Xylulose	52.0	2	2
C00641	1,2-Diacyl-sn-glycerol	325.0	1	5
C01931	L-Lysyl-tRNA	0.0	1	0
C00315	Spermidine	48.0	3	4
C00314	Pyridoxine	76.0	0	2
C00091	Succinyl-CoA	13408.0	5	8
C00760	Cellulose	24.0	3	2
C00093	sn-Glycerol_3-phosphate	4990.0	3	10
C00094	Sulfite	380.0	11	10
C00095	D-Fructose	1456.0	4	8
C00096	GDP-mannose	30.0	3	1
C00097	L-Cysteine	3012.0	15	6
C14099	2-Naphthaldehyde	0.0	6	0
C05729	R-S-Cysteinylglycine	570.0	1	2
C00433	2,5-Dioxopentanoate	16.0	0	2
C14090	1-Naphthaldehyde	0.0	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	260.0	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	180.0	0	3
C14096	3-Formylsalicylic_acid	0.0	2	0
C00186	(S)-Lactate	208.0	1	4
C04732	5-Amino-6-(1-D-ribitylamino)uracil	692.0	1	2
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	67.0	5	1
C05172	Selenophosphoric_acid	3.0	0	1
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	6.0	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	1	0
C05775	alpha-Ribazole	342.0	1	3
C07118	Benzoyl_acetyl-CoA	54.0	0	3
C05773	Cobyrinate	0.0	2	0
C05778	Sirohydrochlorin	168.0	4	4
C05670	3-Aminopropiononitrile	7.0	0	1
C00164	Acetoacetate	0.0	8	1
C00166	Phenylpyruvate	15561.0	13	13
C00167	UDP-glucuronate	0.0	6	0
C00160	Glycolate	3483.0	4	3
C00180	Benzoate	0.0	2	0
C00162	Fatty_acid	16.0	0	2
C00163	Propanoate	231.0	0	1
C02984	L-Aspartyl-tRNA(Asp)	0.0	1	0
