Compound_code	Compound_name	Output_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C05528	3-Sulfopyruvate	584.0	688.914	380.76	below	n.s.	2	0
C05527	3-Sulfinylpyruvate	584.0	688.914	380.76	below	n.s.	2	2
C00027	Hydrogen_peroxide	387.0	179.753	93.38	above	**	1	0
C02876	Propanoyl_phosphate	786.0	872.611	449.56	below	n.s.	2	1
C16242	Cobalt-precorrin_5A	104.0	906.38	325.44	below	**	2	2
C16243	Cobalt-precorrin_5B	80.0	651.457	363.76	below	*	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	0.0	0.0	0.0	equal	NA	0	2
C00944	3-Dehydroquinate	112.0	4419.65	1866.08	below	**	4	0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	0.0	0.0	equal	NA	0	1
C02430	L-Methionyl-tRNA	56.0	178.753	91.4	below	*	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	692.0	712.319	349.8	below	n.s.	2	2
C14819	Fe3+	181.0	323.65	102.79	below	*	1	0
C14818	Fe2+	0.0	0.0	0.0	equal	NA	0	1
C00431	5-Aminopentanoate	8480.0	658.197	386.52	above	***	2	0
C00437	N-Acetylornithine	0.0	2607.176	1346.24	below	*	4	10
C01451	Salicin	0.0	0.0	0.0	equal	NA	0	1
C00438	N-Carbamoyl-L-aspartate	488.0	3167.682	1438.8	below	*	4	1
C00826	L-Arogenate	0.0	0.0	0.0	equal	NA	0	1
C00534	Pyridoxamine	19.0	405.693	128.36	below	***	1	1
C00469	Ethanol	0.0	0.0	0.0	equal	NA	0	8
C01181	4-Trimethylammoniobutanoate	4.0	242.61	128.88	below	*	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	60.0	1004.119	430.32	below	**	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	0.0	0.0	equal	NA	0	2
C01185	Nicotinate_D-ribonucleotide	12.0	1151.626	380.92	below	**	2	4
C15812	[Enzyme]-S-sulfanylcysteine	100.0	273.485	112.2	below	*	1	1
C15813	C15813	64.0	668.284	409.4	below	*	2	2
C15810	C15810	1.0	284.26	106.95	below	**	1	1
C15811	[Enzyme]-cysteine	0.0	0.0	0.0	equal	NA	0	1
C15814	C15814	64.0	668.284	409.4	below	*	2	2
C15815	C15815	1.0	284.26	106.95	below	**	1	2
C16688	Sucrose_6-phosphate	0.0	231.094	98.35	below	**	1	1
C05752	Octanoyl-[acp]	1179.0	1765.345	750.78	below	n.s.	3	3
C00794	D-Sorbitol	0.0	0.0	0.0	equal	NA	0	5
C05840	Iminoaspartate	12.0	763.813	442.96	below	*	2	2
C00886	L-Alanyl-tRNA	52.0	497.932	157.66	below	**	1	0
C00506	L-Cysteate	0.0	0.0	0.0	equal	NA	0	2
C01233	sn-Glycero-3-phosphoethanolamine	0.0	0.0	0.0	equal	NA	0	1
C00226	Primary_alcohol	0.0	0.0	0.0	equal	NA	0	2
C00222	3-Oxopropanoate	36.0	447.462	245.08	below	*	2	1
C00221	beta-D-Glucose	0.0	0.0	0.0	equal	NA	0	3
C00385	Xanthine	3164.0	5952.181	4730.04	below	n.s.	7	5
C00387	Guanosine	0.0	0.0	0.0	equal	NA	0	3
C02504	alpha-Isopropylmalate	0.0	3492.718	1358.24	below	**	4	12
C00229	Acyl-carrier_protein	15.0	234.483	106.54	below	**	1	2
C00499	Allantoate	0.0	0.0	0.0	equal	NA	0	2
C00380	Cytosine	8.0	106.553	59.2	below	*	1	1
C16396	2,4-Diamino-6-nitrotoluene	0.0	0.0	0.0	equal	NA	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	49.0	13810.442	4152.26	below	***	7	1
C00546	Methylglyoxal	164.0	364.583	295.1	below	n.s.	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	6264.0	2294.825	2076.0	above	*	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	472.0	486.295	270.6	below	n.s.	2	0
C02291	L-Cystathionine	0.0	0.0	0.0	equal	NA	0	4
C00364	dTMP	39.0	150.054	72.33	below	*	1	2
C00365	dUMP	504.0	3214.937	1616.68	below	*	4	3
C00362	dGMP	26.0	305.339	104.51	below	**	1	1
C16244	Cobalt-precorrin_7	52.0	328.984	207.84	below	*	2	2
C00360	dAMP	647.0	75.166	47.99	above	***	1	1
C00008	ADP	11574.0	3951.876	3118.44	above	**	6	6
C00007	Oxygen	0.0	0.0	0.0	equal	NA	0	1
C00006	NADP+	92.0	592.298	289.92	below	*	2	0
C00003	NAD+	246.0	1251.779	747.39	below	*	3	2
C00002	ATP	255.0	271.857	119.32	below	n.s.	1	13
C00369	Starch	92.0	639.278	304.32	below	*	2	4
C05703	Methaneselenol	1110.0	277.587	192.04	above	***	2	0
C06613	trans-3-Chloroallyl_aldehyde	17080.0	2450.249	2214.4	above	***	5	4
C06507	Adenosyl_cobyrinate_hexaamide	12.0	242.477	90.22	below	**	1	5
C16619	6-Thioguanosine_monophosphate	270.0	864.1	447.24	below	*	2	0
C11062	4-Hydroxybutyryl-CoA	0.0	0.0	0.0	equal	NA	0	3
C02612	(R)-2-Methylmalate	0.0	0.0	0.0	equal	NA	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	51.0	347.628	135.81	below	**	1	0
C16614	6-Methylmercaptopurine	0.0	0.0	0.0	equal	NA	0	1
C00645	N-Acetyl-D-mannosamine	360.0	2951.656	1214.96	below	**	4	0
C00099	beta-Alanine	26.0	580.226	380.3	below	*	2	6
C00311	Isocitrate	518.0	5833.22	2775.29	below	*	7	11
C00310	D-Xylulose	88.0	627.276	303.96	below	*	2	2
C00641	1,2-Diacyl-sn-glycerol	17.0	194.402	81.94	below	**	1	5
C01931	L-Lysyl-tRNA	148.0	283.812	98.72	below	*	1	0
C00315	Spermidine	27.0	2660.207	1167.48	below	**	3	4
C00314	Pyridoxine	0.0	0.0	0.0	equal	NA	0	2
C00091	Succinyl-CoA	4390.0	2105.601	1984.05	above	*	5	8
C00760	Cellulose	66.0	997.137	754.71	below	*	3	2
C00093	sn-Glycerol_3-phosphate	30.0	1773.072	937.98	below	*	3	10
C00094	Sulfite	836.0	12214.222	10515.78	below	*	11	10
C00095	D-Fructose	632.0	1692.686	1172.08	below	n.s.	4	8
C00096	GDP-mannose	270.0	2054.64	762.03	below	**	3	1
C00097	L-Cysteine	13545.0	28922.966	20023.35	below	n.s.	15	6
C14099	2-Naphthaldehyde	30708.0	4019.416	2826.0	above	***	6	0
C06311	Galactitol_1-phosphate	984.0	4877.603	3047.4	below	*	6	0
C00433	2,5-Dioxopentanoate	0.0	0.0	0.0	equal	NA	0	2
C14090	1-Naphthaldehyde	30708.0	4019.416	2826.0	above	***	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	0.0	0.0	0.0	equal	NA	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	0.0	0.0	0.0	equal	NA	0	3
C14096	3-Formylsalicylic_acid	260.0	584.86	268.08	below	*	2	0
C02702	L-Prolyl-tRNA(Pro)	348.0	122.332	63.7	above	***	1	0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	60.0	165.643	84.56	below	*	1	2
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	1675.0	2647.402	1376.0	below	n.s.	5	1
C05172	Selenophosphoric_acid	0.0	0.0	0.0	equal	NA	0	1
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	0.0	0.0	equal	NA	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	6.0	173.819	84.69	below	*	1	0
C05775	alpha-Ribazole	46.0	260.937	104.47	below	**	1	3
C07118	Benzoyl_acetyl-CoA	0.0	0.0	0.0	equal	NA	0	3
C05773	Cobyrinate	72.0	590.634	360.48	below	*	2	0
C05778	Sirohydrochlorin	16.0	5587.567	2257.12	below	**	4	4
C05670	3-Aminopropiononitrile	0.0	0.0	0.0	equal	NA	0	1
C00164	Acetoacetate	0.0	9818.705	5856.88	below	*	8	1
C00166	Phenylpyruvate	12051.0	17648.094	15043.6	below	n.s.	13	13
C00167	UDP-glucuronate	1728.0	8610.854	3240.0	below	**	6	0
C00160	Glycolate	1668.0	1350.208	1048.16	above	n.s.	4	3
C03794	N6-(1,2-Dicarboxyethyl)-AMP	480.0	1302.501	768.21	below	*	3	3
C00162	Fatty_acid	0.0	0.0	0.0	equal	NA	0	2
C00163	Propanoate	0.0	0.0	0.0	equal	NA	0	1
C02984	L-Aspartyl-tRNA(Asp)	84.0	176.155	79.65	below	*	1	0
C02987	L-Glutamyl-tRNA(Glu)	736.0	3014.128	1183.04	below	*	4	0
C00169	Carbamoyl_phosphate	1750.0	6841.42	4085.69	below	*	7	4
