Compound_code	Compound_name	Output_metabolite_score	Indegree	Outdegree
C05528	3-Sulfopyruvate	584.0	2	0
C05527	3-Sulfinylpyruvate	584.0	2	2
C00148	L-Proline	6096.0	8	7
C16242	Cobalt-precorrin_5A	104.0	2	2
C16243	Cobalt-precorrin_5B	80.0	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	0.0	0	2
C16244	Cobalt-precorrin_7	52.0	2	2
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	0	1
C02430	L-Methionyl-tRNA	56.0	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	692.0	2	2
C14819	Fe3+	181.0	1	0
C14818	Fe2+	0.0	0	1
C00431	5-Aminopentanoate	8480.0	2	0
C00437	N-Acetylornithine	0.0	4	10
C01451	Salicin	0.0	0	1
C00438	N-Carbamoyl-L-aspartate	488.0	4	1
C00826	L-Arogenate	0.0	0	1
C00534	Pyridoxamine	19.0	1	1
C01181	4-Trimethylammoniobutanoate	4.0	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	60.0	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	0	2
C05979	Propane-1-ol	11.0	1	0
C01185	Nicotinate_D-ribonucleotide	12.0	2	4
C15812	[Enzyme]-S-sulfanylcysteine	100.0	1	1
C15813	C15813	64.0	2	2
C15810	C15810	1.0	1	1
C15811	[Enzyme]-cysteine	0.0	0	1
C15814	C15814	64.0	2	2
C15815	C15815	1.0	1	2
C16688	Sucrose_6-phosphate	0.0	1	1
C14145	(3S)-3-Hydroxyadipyl-CoA	0.0	0	4
C00794	D-Sorbitol	0.0	0	5
C05840	Iminoaspartate	12.0	2	2
C00886	L-Alanyl-tRNA	52.0	1	0
C00506	L-Cysteate	0.0	0	2
C01233	sn-Glycero-3-phosphoethanolamine	0.0	0	1
C00226	Primary_alcohol	0.0	0	2
C00222	3-Oxopropanoate	36.0	2	1
C00221	beta-D-Glucose	0.0	0	3
C00385	Xanthine	3164.0	7	5
C00387	Guanosine	0.0	0	3
C02504	alpha-Isopropylmalate	0.0	4	12
C00229	Acyl-carrier_protein	15.0	1	2
C00882	Dephospho-CoA	80.0	2	2
C16396	2,4-Diamino-6-nitrotoluene	0.0	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	49.0	7	1
C00546	Methylglyoxal	164.0	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	6264.0	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	472.0	2	0
C02291	L-Cystathionine	0.0	0	4
C00364	dTMP	39.0	1	2
C00365	dUMP	504.0	4	3
C00362	dGMP	26.0	1	1
C00944	3-Dehydroquinate	112.0	4	0
C00360	dAMP	647.0	1	1
C00008	ADP	11574.0	6	6
C00007	Oxygen	0.0	0	1
C00006	NADP+	92.0	2	0
C00003	NAD+	246.0	3	2
C00002	ATP	255.0	1	13
C00369	Starch	92.0	2	4
C05703	Methaneselenol	1110.0	2	0
C00376	Retinal	88.0	2	0
C16619	6-Thioguanosine_monophosphate	270.0	2	0
C11062	4-Hydroxybutyryl-CoA	0.0	0	3
C02612	(R)-2-Methylmalate	0.0	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	51.0	1	0
C16614	6-Methylmercaptopurine	0.0	0	1
C00645	N-Acetyl-D-mannosamine	360.0	4	0
C00099	beta-Alanine	26.0	2	6
C00311	Isocitrate	518.0	7	11
C00310	D-Xylulose	88.0	2	2
C00641	1,2-Diacyl-sn-glycerol	17.0	1	5
C01931	L-Lysyl-tRNA	148.0	1	0
C00315	Spermidine	27.0	3	4
C00314	Pyridoxine	0.0	0	2
C00091	Succinyl-CoA	4390.0	5	8
C00760	Cellulose	66.0	3	2
C00093	sn-Glycerol_3-phosphate	30.0	3	10
C00094	Sulfite	836.0	11	10
C00095	D-Fructose	632.0	4	8
C00096	GDP-mannose	270.0	3	1
C00097	L-Cysteine	13545.0	15	6
C14099	2-Naphthaldehyde	30708.0	6	0
C05729	R-S-Cysteinylglycine	7.0	1	2
C00433	2,5-Dioxopentanoate	0.0	0	2
C14090	1-Naphthaldehyde	30708.0	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	0.0	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	0.0	0	3
C14096	3-Formylsalicylic_acid	260.0	2	0
C00186	(S)-Lactate	13.0	1	4
C04732	5-Amino-6-(1-D-ribitylamino)uracil	60.0	1	2
