L-Proline	C00148	0
Cobalt-precorrin_5A	C16242	0.111111111111
Cobalt-precorrin_5B	C16243	0.111111111111
2-Oxoglutarate	C00026	0
3-Dehydroquinate	C00944	0
L-Methionyl-tRNA	C02430	0
6,7-Dimethyl-8-(D-ribityl)lumazine	C04332	0
2,5-Dioxopentanoate	C00433	0
N-Acetylornithine	C00437	0
N-Carbamoyl-L-aspartate	C00438	0
N-Acetyl-alpha-D-glucosamine_1-phosphate	C04501	0
UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	C04877	0
2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	C04874	0
Nicotinate_D-ribonucleotide	C01185	0
[Enzyme]-S-sulfanylcysteine	C15812	0
C15813	C15813	0
C15810	C15810	0
C15814	C15814	0
C15815	C15815	0
Sucrose_6-phosphate	C16688	0
D-Sorbitol	C00794	0
Acetyl_phosphate	C00227	0
3-Oxopropanoate	C00222	0
beta-D-Glucose	C00221	0
Xanthine	C00385	0
Dodecanoyl-[acyl-carrier_protein]	C05223	0
alpha-Isopropylmalate	C02504	0
Acyl-carrier_protein	C00229	0
(R)-3-Hydroxy-3-methyl-2-oxopentanoate	C14463	0
Deoxyribose	C01801	0
dUMP	C00365	0
dGMP	C00362	0
Cobalt-precorrin_7	C16244	0.111111111111
dAMP	C00360	0
dGDP	C00361	0
Oxygen	C00007	0
NADP+	C00006	0
NAD+	C00003	0
ATP	C00002	0
Starch	C00369	0
6-Thioxanthine_5'-monophosphate	C16618	0
(R)-2-Methylmalate	C02612	0
N-Acetyl-D-mannosamine	C00645	0
D-Mannitol_1-phosphate	C00644	0
Isocitrate	C00311	0
D-Xylulose	C00310	0
1,2-Diacyl-sn-glycerol	C00641	0
Spermidine	C00315	0.0625
D-Proline	C00763	0
D-Glucose_6-phosphate	C00092	0
2-Methylmaleate	C02226	0
Sulfite	C00094	0
D-Fructose	C00095	0
L-Cysteine	C00097	0
5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	C15667	0
Glutaminyl-tRNA	C02282	0
5-Amino-6-(1-D-ribitylamino)uracil	C04732	0
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	C04734	0
alpha-Ribazole	C05775	0
Cobyrinate	C05773	0.111111111111
Acetoacetate	C00164	0
Phenylpyruvate	C00166	0
UDP-glucuronate	C00167	0
Glycolate	C00160	0
Propanoate	C00163	0
L-Glutamyl-tRNA(Glu)	C02987	0
Carbamoyl_phosphate	C00169	0
4-Phospho-L-aspartate	C03082	0
5,10-Methylenetetrahydromethanopterin	C04377	0
5'-Phosphoribosyl-N-formylglycinamide	C04376	0
(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	C20258	0
5-Methylthio-D-ribose	C03089	0.0625
L-Histidinol	C00860	0
Methanofuran	C00862	0
Pantothenate	C00864	0
(R)-2,3-Dihydroxy-3-methylbutanoate	C04272	0
Cys-Gly	C01419	0
(S)-3-Hydroxybutanoyl-CoA	C01144	0
2-Hydroxy-3-oxopropanoate	C01146	0
N-Succinyl-LL-2,6-diaminoheptanedioate	C04421	0
Adenosine-GDP-cobinamide	C06510	0
(R)-3-Hydroxybutanoyl-CoA	C03561	0
N-(L-Arginino)succinate	C03406	0
Deoxyinosine	C05512	0
3-Hydroxy-3-methyl-2-oxobutanoic_acid	C04181	0
L-Allothreonine	C05519	0
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	C00692	0
Acetaldehyde	C00084	0
3-Oxohexanoyl-CoA	C05269	0
CDP-diacylglycerol	C00269	0
Cobalt-precorrin_3	C11539	0.111111111111
L-Homoserine	C00263	0
Hypoxanthine	C00262	0
alpha-D-Glucose	C00267	0
Ethanol	C00469	0
dUTP	C00460	0
dGTP	C00286	0
Hydrogen_sulfide	C00283	0
Thiosulfate	C00320	0
L-Citrulline	C00327	0
2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	C04691	0
5-Amino-4-imidazolecarboxyamide	C04051	0
L-erythro-4-Hydroxyglutamate	C05947	0
D-4-Hydroxy-2-oxoglutarate	C05946	0
Malonyl-[acyl-carrier_protein]	C01209	0
D-Glutamate	C00217	0
Adenosine	C00212	0
Iminoaspartate	C05840	0
Glycine	C00037	0
GDP	C00035	0
Acetate	C00033	0
D-Glucose	C00031	0
Butanoyl-CoA	C00136	0
L-Histidine	C00135	0
Putrescine	C00134	0.0625
D-Alanine	C00133	0
dATP	C00131	0
DNA	C00039	0
L-Glutamyl-tRNA(Gln)	C06112	0
UDP-N-acetyl-alpha-D-glucosamine	C00043	0
L-Alanine	C00041	0
RNA	C00046	0
GTP	C00044	0
L-Aspartate	C00049	0
Glyoxylate	C00048	0
L-Seryl-tRNA(Sec)	C06481	0
alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	C20440	0
(2S)-2-Isopropyl-3-oxosuccinate	C04236	0
L-Ribulose_5-phosphate	C01101	0
L-Histidinol_phosphate	C01100	0
Orotidine_5'-phosphate	C01103	0
N-Succinyl-2-L-amino-6-oxoheptanedioate	C04462	0
2-(alpha-Hydroxyethyl)thiamine_diphosphate	C05125	0
(R)-2,3-Dihydroxy-3-methylpentanoate	C06007	0
(S)-2-Aceto-2-hydroxybutanoate	C06006	0
[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	C16255	0
Mercaptopyruvate	C00957	0
beta-D-Fructose_6-phosphate	C05345	0
D-Glutamine	C00819	0
D-Altronate	C00817	0
3-Phosphonooxypyruvate	C03232	0
Guanosine	C00387	0
Nicotinate_D-ribonucleoside	C05841	0
Cytosine	C00380	0
(S)-1-Pyrroline-5-carboxylate	C03912	0
Nicotinate	C00253	0
Chorismate	C00251	0
(R)-Lactate	C00256	0
Prephenate	C00254	0
Riboflavin	C00255	0
D-Glycerate	C00258	0
L-Selenomethionine	C05335	0
Thiamin_monophosphate	C01081	0
Deoxyadenosine	C00559	0
Shikimate	C00493	0
(R)-3-Hydroxybutanoate	C01089	0
ADP-glucose	C00498	0
Dephospho-CoA	C00882	0
L-Phenylalanine	C00079	0
L-Methionine	C00073	0.0625
L-Ornithine	C00077	0
Phosphoenolpyruvate	C00074	0
UTP	C00075	0
IMP	C00130	0
D-Fructose_6-phosphate	C00085	0
1,4-beta-D-Xylan	C02352	0
Malonyl-CoA	C00083	0
L-Tyrosine	C00082	0
2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	C04640	0
Shikimate_3-phosphate	C03175	0
Sucrose	C00089	0
6-Thioinosine-5'-monophosphate	C04646	0
(S)-3-Methyl-2-oxopentanoic_acid	C00671	0
2-Deoxy-D-ribose_1-phosphate	C00672	0
2-Deoxy-D-ribose_5-phosphate	C00673	0
(R)-2-Hydroxybutane-1,2,4-tricarboxylate	C01251	0
N-Acetyl-L-glutamate_5-semialdehyde	C01250	0
L-Histidinal	C01929	0
Uracil	C00106	0
UMP	C00105	0
D-Glucose_1-phosphate	C00103	0
Propanoyl-CoA	C00100	0
Tetrahydrofolate	C00101	0
L-3,4-Dihydroxybutan-2-one_4-phosphate	C15556	0
2-Oxobutanoate	C00109	0
UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	C04702	0
Hexadecanoyl-[acp]	C05764	0
Tetradecanoyl-[acp]	C05761	0
trans-Tetradec-2-enoyl-[acp]	C05760	0
trans-Hexadec-2-enoyl-[acp]	C05763	0
3-Oxohexadecanoyl-[acp]	C05762	0
ADP	C00008	0
5'-Methylthioadenosine	C00170	0.0625
Agmatine	C00179	0.0625
Maltose_6'-phosphate	C02995	0
Sedoheptulose_1,7-bisphosphate	C00447	0
5-Phosphoribosylamine	C03090	0
O-Acetyl-L-homoserine	C01077	0.0625
4-Amino-2-methyl-5-phosphomethylpyrimidine	C04556	0
2-C-Methyl-D-erythritol_4-phosphate	C11434	0
4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	C11435	0
2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	C11436	0
Deamino-NAD+	C00857	0
Carboxybiotin-carboxyl-carrier_protein	C04419	0
1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	C04823	0
UDP-N-acetyl-D-mannosamine	C01170	0
(2R,3S)-3-Isopropylmalate	C04411	0
beta-D-Glucose_6-phosphate	C01172	0
Phosphatidylglycerophosphate	C03892	0
1-Acyl-sn-glycerol_3-phosphate	C00681	0
alpha,alpha'-Trehalose_6-phosphate	C00689	0
beta-D-Fructose_1,6-bisphosphate	C05378	0
Dihydropteroate	C00921	0
5-(2-Hydroxyethyl)-4-methylthiazole	C04294	0
dCTP	C00458	0
7,8-Dihydroneopterin_3'-triphosphate	C04895	0
5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	C04896	0
5-Methyl-5,6,7,8-tetrahydromethanopterin	C04488	0
Nicotinamide_D-ribonucleotide	C00455	0
Enzyme_N6-(dihydrolipoyl)lysine	C15973	0
Enzyme_N6-(lipoyl)lysine	C15972	0
4-Hydroxybutyryl-CoA	C11062	0
Deoxyguanosine	C00330	0
Acetoacetyl-CoA	C00332	0
(S)-Dihydroorotate	C00337	0
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	C04688	0
D-1-Aminopropan-2-ol_O-phosphate	C04122	0
2-Phospho-D-glycerate	C00631	0
Butanoylphosphate	C02527	0
Maltose	C00208	0
Dihydrofolate	C00415	0
2-Dehydro-3-deoxy-D-gluconate	C00204	0
UDP-N-acetylmuramoyl-L-alanine	C01212	0
5,6,7,8-Tetrahydromethanopterin	C01217	0
L-Glutamate	C00025	0
Acetyl-CoA	C00024	0
Hydrogen_peroxide	C00027	0
(S)-Malate	C00149	0
S-Adenosyl-L-homocysteine	C00021	0.0625
AMP	C00020	0
Pyruvate	C00022	0
5,10-Methylenetetrahydrofolate	C00143	0
3-Methyl-2-oxobutanoic_acid	C00141	0
UDP-glucose	C00029	0
Adenine	C00147	0
GMP	C00144	0
R-S-Cysteinylglycine	C05729	0
UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	C04631	0
(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	C04633	0
beta-Alanine	C00099	0
1-(5-Phospho-D-ribosyl)-ATP	C02739	0
dCDP	C00705	0
Holo-[carboxylase]	C06250	0
S-Aminomethyldihydrolipoylprotein	C01242	0
2-Isopropylmaleate	C02631	0
3-Dehydroshikimate	C02637	0
3-(4-Hydroxyphenyl)pyruvate	C01179	0
2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	C04752	0
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	C04751	0
Succinyl-CoA	C00091	0
5-Amino-6-(5'-phospho-D-ribitylamino)uracil	C04454	0
S-Adenosylmethioninamine	C01137	0.0625
Cellulose	C00760	0
sn-Glycerol_3-phosphate	C00093	0
D-erythro-3-Methylmalate	C06032	0
L-Threonine_O-3-phosphate	C12147	0
D-Glucosamine	C00329	0
O-Phospho-L-homoserine	C01102	0
Phosphoribosyl-AMP	C02741	0
3-Hydroxyglutaryl-[acp]_methyl_ester	C20373	0
3-Ketoglutaryl-[acp]_methyl_ester	C20372	0
3-Hydroxypimeloyl-[acp]_methyl_ester	C20377	0
3-Ketopimeloyl-[acp]_methyl_ester	C20376	0
Glutaryl-[acp]_methyl_ester	C20375	0
Enoylglutaryl-[acp]_methyl_ester	C20374	0
Oxaloacetate	C00036	0
Cobalt-precorrin_8	C11545	0.111111111111
2-Dehydropantoate	C00966	0
Cobalt-precorrin_4	C11540	0.111111111111
Cobalt-precorrin_6	C11542	0.111111111111
Cobalt-dihydro-precorrin_6	C11543	0.111111111111
N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	C04916	0
Formylmethanofuran	C01001	0
Phosphatidate	C00416	0
cis-Aconitate	C00417	0
MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	C04851	0
4-Amino-5-hydroxymethyl-2-methylpyrimidine	C01279	0
alpha-D-Ribose_1-phosphate	C00620	0
Thiamine	C00378	0
Guanine	C00242	0
Butanoic_acid	C00246	0
4-Aminobenzoate	C00568	0
D-Tagatose_6-phosphate	C01097	0
Sorbitol_6-phosphate	C01096	0
D-Fructose_1-phosphate	C01094	0
Phosphonoacetate	C05682	0
Thiamin_diphosphate	C00068	0
Thioredoxin	C00342	0
Thioredoxin_disulfide	C00343	0
Phosphatidylglycerol	C00344	0
FMN	C00061	0
CTP	C00063	0
L-Arginine	C00062	0.0625
L-Serine	C00065	0
L-Glutamine	C00064	0
1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	C11811	0
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	C04677	0
Malonyl-[acp]_methyl_ester	C19673	0
2,5-Diaminopyrimidine_nucleoside_triphosphate	C05923	0
Formamidopyrimidine_nucleoside_triphosphate	C05922	0
Biotinyl-5'-AMP	C05921	0
3-(Imidazol-4-yl)-2-oxopropyl_phosphate	C01267	0
5-Amino-6-(5'-phosphoribosylamino)uracil	C01268	0
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C01269	0
beta-D-Glucose_1-phosphate	C00663	0
2-Phosphoglycolate	C00988	0
D-Ribose_5-phosphate	C00117	0
Glycerol	C00116	0
Glycerone_phosphate	C00111	0
CDP	C00112	0
5-Phospho-alpha-D-ribose_1-diphosphate	C00119	0
D-Glyceraldehyde_3-phosphate	C00118	0
D-4'-Phosphopantothenate	C03492	0
dUDP	C01346	0
3-Oxooctanoyl-[acp]	C05750	0
trans-Oct-2-enoyl-[acp]	C05751	0
Octanoyl-[acp]	C05752	0
3-Oxodecanoyl-[acp]	C05753	0
trans-Dec-2-enoyl-[acp]	C05754	0
Decanoyl-[acp]	C05755	0
3-Oxododecanoyl-[acp]	C05756	0
(R)-3-Hydroxydodecanoyl-[acp]	C05757	0
trans-Dodec-2-enoyl-[acp]	C05758	0
3-Oxotetradecanoyl-[acp]	C05759	0
L-Threonine	C00188	0
Ethanolamine	C00189	0
(S)-Lactate	C00186	0
Cellobiose	C00185	0
N6-(1,2-Dicarboxyethyl)-AMP	C03794	0
D-Xylose	C00181	0
D-Mannose	C00159	0
all-trans-Heptaprenyl_diphosphate	C04216	0
Citrate	C00158	0
(R)-4'-Phosphopantothenoyl-L-cysteine	C04352	0
UDP	C00015	0
L-Cystathionine	C02291	0.0625
2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	C06148	0
1-Deoxy-D-xylulose_5-phosphate	C11437	0
4-Methyl-5-(2-phosphoethyl)-thiazole	C04327	0
Precursor_Z	C18239	0
alpha-D-Galactose_1-phosphate	C00446	0
5,10-Methenyltetrahydrofolate	C00445	0
Xanthosine	C01762	0
L-Aspartate_4-semialdehyde	C00441	0
5-Methyltetrahydrofolate	C00440	0
Deoxyuridine	C00526	0
2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	C11453	0
(R)-Pantoate	C00522	0
trans,trans-Farnesyl_diphosphate	C00448	0
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	C04882	0
Dethiobiotin	C01909	0
Geranyl_diphosphate	C00341	0
N-Acetyl-L-glutamate_5-phosphate	C04133	0
5'-Phosphoribosylglycinamide	C03838	0
Quinolinate	C03722	0
Acetyl-[acyl-carrier_protein]	C03939	0
2,3-Dihydroxy-3-methylbutanoate	C04039	0
4-Amino-4-deoxychorismate	C11355	0
N-Acetyl-L-glutamate	C00624	0
dCMP	C00239	0
D-Xylulose_5-phosphate	C00231	0
10-Formyltetrahydrofolate	C00234	0
Dimethylallyl_diphosphate	C00235	0
3-Phospho-D-glyceroyl_phosphate	C00236	0
CO	C00237	0
CoA	C00010	0
CO2	C00011	0
Ammonia	C00014	0
Cardiolipin	C05980	0
FAD	C00016	0
beta-D-Fructose	C02336	0
S-Adenosyl-L-methionine	C00019	0.0625
L-Asparagine	C00152	0
L-Homocysteine	C00155	0.0625
3-Phospho-D-glycerate	C00197	0
dTTP	C00459	0
Vinylacetyl-CoA	C02331	0
D-Tagatose_1,6-bisphosphate	C03785	0
(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	C04620	0
Xanthosine_5'-phosphate	C00655	0
Amylose	C00718	0
Pantetheine_4'-phosphate	C01134	0
di-trans,poly-cis-Undecaprenyl_phosphate	C17556	0
2-Dehydro-3-deoxy-6-phospho-D-gluconate	C04442	0
4-Hydroxy-2-oxoglutarate	C01127	0
Salicin_6-phosphate	C06188	0
Arbutin_6-phosphate	C06187	0
Lipoylprotein	C02051	0
Dimethylbenzimidazole	C03114	0
O-Acetyl-L-serine	C00979	0
Crotonoyl-CoA	C00877	0
3-Hydroxy-5-oxohexanoyl-CoA	C16273	0
3-Hydroxy-5-oxohexanoate	C16272	0
But-2-enoyl-[acyl-carrier_protein]	C04246	0
Aminoimidazole_ribotide	C03373	0
Adenosyl_cobyrinate_a,c_diamide	C06506	0
Adenosyl_cobyrinate_hexaamide	C06507	0
Folinic_acid	C03479	0
Adenosyl_cobinamide	C06508	0
Adenosyl_cobinamide_phosphate	C06509	0
Tetrahydrofolyl-[Glu](2)	C09332	0
2,3,4,5-Tetrahydrodipicolinate	C03972	0
D-Glyceraldehyde	C00577	0
2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	C01300	0
D-Erythrose_4-phosphate	C00279	0
2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	C01304	0
D-Mannose_6-phosphate	C00275	0
2-Acetolactate	C00900	0
N-Acetylmuramic_acid_6-phosphate	C16698	0
Cytidine	C00475	0
Inosine	C00294	0
Orotate	C00295	0
N-Acetyl-D-glucosamine_6-phosphate	C00357	0
Selenohomocysteine	C05698	0
alpha-D-Glucose_6-phosphate	C00668	0
Geranylgeranyl_diphosphate	C00353	0
D-Glucosamine_6-phosphate	C00352	0
Uridine	C00299	0
D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	C04666	0
N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C04778	0
Spermine	C00750	0.0625
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C05893	0
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	C05892	0
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C05897	0
D-Alanyl-D-alanine	C00993	0
3-D-Glucosyl-1,2-diacylglycerol	C04046	0
Sedoheptulose_7-phosphate	C05382	0
Biotin	C00120	0
D-Ribose	C00121	0
Fumarate	C00122	0
Isopentenyl_diphosphate	C00129	0
(S)-3-Hydroxy-3-methylglutaryl-CoA	C00356	0
Thiamin_triphosphate	C03028	0
Hexanoyl-[acp]	C05749	0
trans-Hex-2-enoyl-[acp]	C05748	0
(R)-3-Hydroxyhexanoyl-[acp]	C05747	0
3-Oxohexanoyl-[acp]	C05746	0
Butyryl-[acp]	C05745	0
