sn-Glycerol_1-phosphate	C00623	1.0
L-Seryl-tRNA(Sec)	C06481	1.0
Orthophosphate	C00009	1.0
L-Tyrosyl-tRNA(Tyr)	C02839	1.0
NADPH	C00005	1.0
Enoylpimeloyl-[acp]_methyl_ester	C20378	1.0
Choline	C00114	1.0
Glycyl-tRNA(Gly)	C02412	1.0
Carbamate	C01563	1.0
L-Seryl-tRNA(Ser)	C02553	1.0
L-Valyl-tRNA(Val)	C02554	1.0
6-Thioguanosine_monophosphate	C16619	1.0
Pyridoxal	C00250	0.5
Methylglyoxal	C00546	1.0
3-Hydroxyoctadecanoyl-[acp]	C16220	0.25
(2E)-Octadecenoyl-[acp]	C16221	0.25
S-Substituted_L-cysteine	C05726	1.0
Adenosine_3',5'-bisphosphate	C00054	1.0
L-Lysyl-tRNA	C01931	1.0
N-Formylmethionyl-tRNA	C03294	1.0
L-Histidyl-tRNA(His)	C02988	1.0
L-Arginyl-tRNA(Arg)	C02163	1.0
C15813	C15813	0.5
Octadecanoyl-[acyl-carrier_protein]	C04088	0.25
C15814	C15814	0.5
Pyridoxal_phosphate	C00018	0.5
3-Mercaptolactate	C05823	1.0
L-Threonyl-tRNA(Thr)	C02992	1.0
L-Cysteinyl-tRNA(Cys)	C03125	1.0
L-Alanyl-tRNA	C00886	1.0
3-Oxostearoyl-[acp]	C16219	0.25
L-Phenylalanyl-tRNA(Phe)	C03511	1.0
Taurine	C00245	1.0
L-Tryptophanyl-tRNA(Trp)	C03512	1.0
Chenodeoxycholate	C02528	1.0
N(pi)-Methyl-L-histidine	C01152	1.0
4-Hydroxy-L-threonine	C06056	1.0
Guanosine_3'-diphosphate_5'-triphosphate	C04494	1.0
Ethanolamine	C00189	1.0
L-Aspartyl-tRNA(Asp)	C02984	1.0
L-Isoleucyl-tRNA(Ile)	C03127	1.0
L-Aspartyl-tRNA(Asn)	C06113	1.0
L-Leucyl-tRNA	C02047	1.0
